Wrocław;Bydgoszcz;Toruń;Lublin;Gorzów Wielkopolski;Zielona Góra;Łódź;Kraków;Warszawa;Opole;Rzeszów;Białystok;Gdańsk;Katowice;Kielce;Olsztyn;Poznań;Szczecin;Wskaźnik;Obszar
4;32;30;26;36;14;18;6;2;16;22;34;12;10;28;20;8;24;B1;B
12;32;24;20;36;26;16;10;2;18;14;34;8;4;28;22;6;30;B2;B
10;18;26;28;16;34;20;14;12;4;22;36;2;6;32;24;8;30;B3;B
30;14;20;18;16;4;36;32;26;2;12;8;24;22;6;10;34;28;B4;B
8;7;6;12;15;4;9;14;17;10;2;15;11;13;5;1;3;16;B5;B
11;10;9;14;12;1;8;13;3;17;7;18;6;4;16;2;15;5;B6;B
14;4;3;12;9;11;5;13;18;17;10;1;15;16;6;7;8;2;B7;B
24;18;36;28;2;16;34;22;10;14;26;20;8;12;32;4;6;30;B8;B
20;56;72;52;64;28;60;36;4;8;40;48;16;44;24;32;12;68;B9;B
5;18;17;8;16;14;11;2;4;1;9;12;3;6;10;7;15;13;C1;C
22;6;2;14;20;8;28;24;32;4;14;34;36;30;12;10;18;26;C2;C
6;26;10;24;20;34;36;18;16;32;8;28;22;2;12;14;4;30;C3;C
6;36;20;16;26;28;18;2;4;12;32;30;14;8;22;34;10;24;C4;C
16;30;8;12;28;4;34;36;24;2;32;10;26;6;22;18;20;14;C5;C
36;34;16;18;32;28;26;6;24;20;2;10;12;4;8;22;14;30;C6;C
2;6;18;6;22;22;4;6;6;34;22;22;6;22;22;34;18;16;C7;C
18;24;2;20;34;8;16;4;28;6;26;36;22;10;14;32;12;30;C8;C
8;28;20;30;22;14;34;12;16;26;6;36;24;4;18;10;2;32;C9;C
6;16;4;7;18;13;9;2;1;5;14;15;3;8;12;11;10;17;C10;C
8;36;18;6;26;34;28;4;2;20;10;24;16;14;12;32;22;30;E1;E
8;36;22;10;34;24;28;2;4;20;6;12;16;26;14;30;18;32;E2;E
6;34;20;8;36;30;32;4;2;26;12;14;10;22;18;22;16;28;E3;E
6;26;20;8;26;26;8;4;2;20;20;16;8;26;26;26;8;16;E4;E
16;6;32;4;32;24;16;8;2;8;24;16;24;24;32;16;8;8;E5;E
6;24;16;16;24;24;8;12;2;24;24;16;8;12;24;24;4;16;E6;E
10;34;18;12;36;30;26;8;24;14;6;28;20;2;22;16;4;32;E7;E
14;15;10;11;12;4;17;8;6;5;3;1;18;13;9;2;16;7;E8;E
11;17;9;4;16;14;15;13;10;3;6;1;18;7;8;5;2;12;E9;E
26;22;24;10;16;14;36;28;20;4;6;18;32;30;2;12;8;34;E10;E
32;68;44;24;36;28;52;12;4;20;8;12;60;56;64;72;40;48;E11;E
16;20;4;32;22;26;30;28;14;12;8;6;2;34;24;10;18;36;I1;I
8;28;16;52;28;28;16;64;64;12;72;16;52;52;28;28;28;4;I2;I
15;7;5;10;9;2;14;11;18;3;8;4;17;1;6;13;16;12;I3;I
28;20;10;22;8;36;12;14;26;34;16;4;32;18;6;30;2;24;I4;I
20;20;20;20;14;2;20;36;20;2;2;12;34;2;2;14;20;18;I5;I
14;12;8;20;32;36;4;10;2;34;22;6;26;28;16;24;18;30;I6;I
12;24;14;10;26;36;28;20;6;22;4;2;18;30;32;8;16;34;I7;I
18;8;34;4;28;32;12;14;36;6;20;2;10;22;24;30;16;26;K1;K
24;60;28;56;15;8;44;64;32;36;36;4;12;68;48;16;52;20;K2;K
32;28;36;52;56;68;20;24;48;72;8;44;40;64;60;4;12;16;K3;K
10;34;24;30;36;20;32;12;2;16;8;28;14;4;22;18;6;26;K4;K
28;22;6;12;20;16;18;26;36;30;14;2;24;34;8;4;32;10;K5;K
36;4;14;2;22;28;30;32;34;16;24;6;8;26;10;12;18;20;K6;K
24;18;26;28;10;4;34;30;36;2;6;8;22;16;14;20;12;32;K7;K
22;20;4;12;2;6;8;36;32;34;24;10;16;26;28;14;18;30;K8;K
30;8;14;12;16;20;24;34;36;26;6;2;22;28;4;10;32;18;K9;K
32;14;12;8;2;6;24;34;36;24;22;8;28;20;18;4;30;16;K10;K
60;36;40;48;12;8;16;68;72;24;56;44;64;4;16;32;52;28;M1;M
6;32;20;16;36;30;4;8;2;24;34;24;10;12;28;16;14;20;M2;M
2;34;26;28;36;20;30;6;10;14;4;16;8;32;24;22;12;18;M3;M
2;36;32;26;24;10;18;14;4;8;18;28;16;12;34;30;6;18;M4;M
22;14;28;30;2;36;34;20;24;2;2;16;2;2;26;2;18;32;M5;M
24;18;32;22;2;26;34;20;30;2;2;16;2;2;28;2;2;36;M6;M
12;36;32;26;20;16;22;8;2;14;30;34;10;24;18;28;4;6;P1;P
16;40;52;64;20;28;60;32;12;48;72;56;36;8;68;44;4;24;P2;P
12;22;26;30;2;14;34;18;10;24;36;28;18;6;32;16;4;8;P3;P
6;34;32;30;24;18;26;8;2;14;22;36;12;16;20;28;4;10;P4;P
10;34;30;8;36;26;32;4;2;22;14;18;6;24;16;20;12;26;P5;P
20;56;52;44;72;60;32;16;4;36;40;68;12;8;64;48;24;28;P6;P
20;44;48;56;72;28;24;16;4;60;68;64;12;32;40;36;8;52;S1;S
13;15;12;6;8;17;18;7;10;14;2;1;9;11;5;4;3;16;S2;S
9;17;16;11;12;6;14;2;8;13;10;7;18;5;1;3;4;15;S3;S
24;30;22;18;12;6;36;16;4;28;2;8;10;34;32;14;20;26;S4;S
12;24;8;14;24;20;36;6;34;18;4;2;30;16;32;10;28;22;S5;S
22;30;12;18;16;8;36;10;20;26;2;4;14;32;32;6;24;28;S6;S
12;30;24;18;32;22;36;6;8;20;2;4;10;34;26;16;14;28;S7;S
12;34;24;18;26;8;22;2;10;16;4;20;6;30;32;28;36;14;S8;S
12;26;8;14;24;20;36;6;34;18;4;2;30;16;32;10;28;22;S9;S
36;14;22;18;28;24;4;12;2;20;32;34;8;26;10;30;6;16;S10;S
8;28;26;10;36;20;18;24;34;16;4;12;32;14;6;30;2;22;Z1;Z
16;14;32;2;36;34;18;8;12;20;6;22;30;4;10;24;26;28;Z2;Z
24;12;32;6;30;36;18;22;28;16;2;26;34;4;14;8;10;20;Z3;Z
26;16;34;8;36;30;22;12;18;6;4;20;32;2;10;14;24;28;Z4;Z
18;16;12;30;34;36;10;4;2;14;32;24;8;20;22;26;6;28;Z5;Z
12;32;2;28;30;6;34;10;4;36;24;14;8;20;22;26;16;18;Z6;Z
